sentence	obligation	reporting_entity	target_entity	frequency	deadline
Each year, the Executive Director shall submit the following to the Management Board for approval:. (a) a draft report covering the activities of the Agency in the previous year, including information about the number of registration dossiers received, the number of substances evaluated, the number of applications for authorisation received, the number of proposals for restriction received by the Agency and opined upon, the time taken for completion of the associated procedures, and the substances authorised, dossiers rejected, substances restricted; complaints received and the action taken; an overview of the activities of the Forum;. (b) a draft work-programme for the coming year;. (c) the draft annual accounts;. (d) the draft forecast budget for the coming year;. (e) a draft multiannual work programme.	1	the Executive Director	the Management Board	annually	-
Total Yearly R&I public expenditure in clean energy and low carbon technologies	0	-	-	-	-
This Regulation provides for the absence of border control of persons crossing the internal borders between the Member States of the Union.	0	-	-	-	-
Member States shall inform the Commission, by 1 December of each year, of the names of the inspectors and the inspection vessels they intend to assign to the ICCAT Scheme during the following year.	1	Member States	the Commission	annually	01-12-?
The Committee shall review as necessary, but at least once every two years, the implementation and operation of this Agreement taking into account the objectives thereof and shall inform the Contracting Parties to the GATT of developments during the period covered by such reviews.	1	The Committee	the Contracting Parties	biannually	-
the provision or provisions which have been infringed;	0	-	-	-	-
Initial reporting on fees referred to in Article 5(2) and (3) shall be submitted to ESMA nine months after the date of entry into force of this Regulation and shall include the data accumulated from the date of entry into force of this Regulation until 30 June 2015.	1	-	ESMA	-	-
This is the amount of unrestricted Tier 1 own fund items that are eligible to meet the SCR.	0	-	-	-	-
Those reports shall be submitted to the Commission during the month following each three-month period, in April, July, October, and January.	1	-	the Commission	every three months	-
Member States shall provide to the Commission, by 2 February 2022 and subsequently on an annual basis, information on:. (a) the numbers of reported suspicious transactions, significant disappearances and thefts respectively;. (b) the number of licence applications received under any licensing regime that they have maintained or established pursuant to Article 5(3), as well as the number of licences issued, and the most common reasons for refusing to issue licences;. (c) awareness-raising actions as referred to in Article 10(2);. (d) inspections carried out as referred to in Article 11, including the number of inspections and economic operators covered.	1	Member States	the Commission	annually	02-02-2022
